Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/11/2018,AQS,371010002,1,0.033,ppm,31,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/12/2018,AQS,371010002,1,0.036,ppm,33,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/13/2018,AQS,371010002,1,0.048,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/14/2018,AQS,371010002,1,0.046,ppm,43,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/15/2018,AQS,371010002,1,0.055,ppm,51,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/16/2018,AQS,371010002,1,0.056,ppm,54,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/17/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/18/2018,AQS,371010002,1,0.048,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/19/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/20/2018,AQS,371010002,1,0.035,ppm,32,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/21/2018,AQS,371010002,1,0.031,ppm,29,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/22/2018,AQS,371010002,1,0.045,ppm,42,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/23/2018,AQS,371010002,1,0.052,ppm,48,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/24/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/25/2018,AQS,371010002,1,0.051,ppm,47,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/26/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/27/2018,AQS,371010002,1,0.035,ppm,32,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/28/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/29/2018,AQS,371010002,1,0.051,ppm,47,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/30/2018,AQS,371010002,1,0.042,ppm,39,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
3/31/2018,AQS,371010002,1,0.049,ppm,45,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/1/2018,AQS,371010002,1,0.051,ppm,47,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/2/2018,AQS,371010002,1,0.054,ppm,50,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/3/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/4/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/5/2018,AQS,371010002,1,0.049,ppm,45,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/6/2018,AQS,371010002,1,0.059,ppm,64,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/7/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/8/2018,AQS,371010002,1,0.049,ppm,45,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/9/2018,AQS,371010002,1,0.042,ppm,39,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/10/2018,AQS,371010002,1,0.046,ppm,43,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/11/2018,AQS,371010002,1,0.054,ppm,50,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/12/2018,AQS,371010002,1,0.057,ppm,58,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/13/2018,AQS,371010002,1,0.055,ppm,51,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/14/2018,AQS,371010002,1,0.05,ppm,46,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/15/2018,AQS,371010002,1,0.036,ppm,33,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/16/2018,AQS,371010002,1,0.035,ppm,32,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/17/2018,AQS,371010002,1,0.051,ppm,47,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/18/2018,AQS,371010002,1,0.061,ppm,71,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/19/2018,AQS,371010002,1,0.055,ppm,51,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/20/2018,AQS,371010002,1,0.058,ppm,61,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/21/2018,AQS,371010002,1,0.059,ppm,64,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/22/2018,AQS,371010002,1,0.058,ppm,61,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/23/2018,AQS,371010002,1,0.052,ppm,48,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/24/2018,AQS,371010002,1,0.043,ppm,40,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/25/2018,AQS,371010002,1,0.034,ppm,31,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/26/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/27/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/28/2018,AQS,371010002,1,0.057,ppm,58,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
