Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,DMean PM10,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
Good,34,16,33,34,0,9,17,1,35.7,23,0.037,17,0.6,24,0.8,18,2016,1,1,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
Good,34,16,33,34,0,9,17,1,35.7,23,0.037,17,0.6,24,0.8,19,2016,1,1,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
Good,33,6,33,28,0,3,7,1,35.9,18,0.03,13,0,24,0.3,24,2016,1,7,Los Angeles-North Main Street,34.06659,-118.22688,1/7/2016
Good,44,20,44,16,0,11,22,1,47.6,22,0.017,17,0.9,24,1,24,2016,1,13,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
Good,44,20,44,16,0,11,22,1,47.6,22,0.017,17,0.9,24,1,24,2016,1,13,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
Good,25,17,25,16,0,8,18,1,27.9,22,0.017,17,0.3,24,0.7,24,2016,1,19,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
Good,25,17,25,16,0,8,18,1,27.9,22,0.017,17,0.3,24,0.7,24,2016,1,19,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
Good,43,24,43,25,0,10,26,1,46.3,23,0.027,17,0.5,24,0.9,24,2016,1,25,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
Good,43,24,43,25,0,9,26,1,46.3,23,0.027,17,0.5,24,0.8,24,2016,1,25,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
Good,33,9,18,33,0,3,10,1,19.8,23,0.036,17,0.2,24,0.3,24,2016,1,31,Los Angeles-North Main Street,34.06659,-118.22688,1/31/2016
Good,46,16,46,34,0,11,17,1,49.6,23,0.037,17,0.5,24,1,24,2016,2,6,Los Angeles-North Main Street,34.06659,-118.22688,2/6/2016
Moderate Pollution,58,35,58,41,0,15,38,1,61.7,22,0.044,17,0.7,24,1.3,24,2016,2,12,Los Angeles-North Main Street,34.06659,-118.22688,2/12/2016
Good,37,12,37,31,0,6,13,1,39.7,23,0.033,17,0.1,24,0.5,24,2016,2,18,Los Angeles-North Main Street,34.06659,-118.22688,2/18/2016
Moderate Pollution,51,20,51,41,0,8,22,1,54.5,23,0.044,17,0.4,24,0.7,24,2016,2,24,Los Angeles-North Main Street,34.06659,-118.22688,2/24/2016
Good,38,11,25,38,0,5,12,1,27.3,23,0.041,17,0,24,0.4,24,2016,3,7,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
Good,38,11,25,38,0,5,12,1,27.3,23,0.041,17,0,24,0.4,24,2016,3,7,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
Good,39,18,21,39,0,6,19,1,22.7,23,0.042,17,0.4,24,0.5,24,2016,3,13,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
Good,39,18,21,39,0,5,19,1,22.7,23,0.042,17,0.4,24,0.4,24,2016,3,13,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
Moderate Pollution,51,38,26,51,0,6,41,1,28,23,0.055,17,0.3,24,0.5,24,2016,3,19,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
Moderate Pollution,51,38,26,51,0,6,41,1,28,23,0.055,17,0.3,24,0.5,24,2016,3,19,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
Good,42,26,39,42,1,10,28,1,41.9,23,0.045,17,1,24,0.9,24,2016,3,25,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
Good,42,26,39,42,1,9,28,1,41.9,23,0.045,17,1,24,0.8,24,2016,3,25,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
Good,38,23,29,38,0,8,25,1,31.8,23,0.041,17,0.6,24,0.7,24,2016,3,31,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
Good,38,23,29,38,0,8,25,1,31.8,23,0.041,17,0.6,24,0.7,24,2016,3,31,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
Good,43,24,39,43,0,8,26,1,41.9,22,0.046,17,0.4,24,0.7,24,2016,4,6,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
Good,43,24,39,43,0,8,26,1,41.9,22,0.046,17,0.4,24,0.7,24,2016,4,6,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
Good,34,17,27,34,0,7,18,1,29.5,21,0.037,14,0.5,24,0.6,21,2016,4,12,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
Good,34,17,27,34,0,6,18,1,29.5,21,0.037,14,0.5,24,0.5,24,2016,4,12,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
Moderate Pollution,74,24,50,74,1,8,26,1,53.6,23,0.062,17,1.1,24,0.7,24,2016,4,18,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
Moderate Pollution,74,24,50,74,1,8,26,1,53.6,23,0.062,17,1.1,24,0.7,24,2016,4,18,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
Moderate Pollution,54,26,25,54,0,6,28,1,26.9,22,0.056,17,0.4,24,0.5,24,2016,4,24,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
Moderate Pollution,54,26,25,54,0,5,28,1,26.9,22,0.056,17,0.4,24,0.4,24,2016,4,24,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
Good,45,22,17,45,0,3,24,1,18.8,23,0.049,17,0.2,24,0.3,24,2016,4,30,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
Good,45,22,17,45,0,3,24,1,18.8,23,0.049,17,0.2,24,0.3,24,2016,4,30,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
Good,37,9,25,37,0,3,10,1,26.6,23,0.04,17,0.1,24,0.3,24,2016,5,7,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
Good,37,9,25,37,0,5,10,1,26.6,23,0.04,17,0.1,24,0.4,24,2016,5,7,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
Good,40,17,20,40,0,3,18,1,21.2,21,0.043,14,0.3,24,0.3,21,2016,5,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
Good,40,17,20,40,0,3,18,1,21.2,21,0.043,14,0.3,24,0.3,19,2016,5,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
Good,31,12,19,31,0,3,13,1,20.9,21,0.033,14,0.7,24,0.3,21,2016,5,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
Good,31,12,19,31,0,2,13,1,20.9,21,0.033,14,0.7,24,0.2,24,2016,5,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
Good,46,15,9,46,0,3,16,1,10.7,23,0.05,17,0.3,24,0.3,24,2016,5,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
Good,46,15,9,46,0,2,16,1,10.7,23,0.05,17,0.3,24,0.2,24,2016,5,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
Good,43,11,17,43,0,3,12,1,18.5,22,0.046,17,0.3,24,0.3,24,2016,6,5,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
Good,43,11,17,43,0,3,12,1,18.5,22,0.046,17,0.3,24,0.3,24,2016,6,5,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
Good,27,6,11,27,0,2,7,1,12.3,21,0.029,14,0.3,24,0.2,21,2016,6,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
Good,27,6,11,27,0,2,7,1,12.3,21,0.029,14,0.3,24,0.2,24,2016,6,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
Moderate Pollution,112,42,38,112,1,8,45,1,40.1,22,0.074,17,1.9,24,0.7,21,2016,6,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
Moderate Pollution,112,42,38,112,1,8,45,1,40.1,22,0.074,17,1.9,24,0.7,24,2016,6,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
Good,42,27,17,42,0,3,29,1,18.4,22,0.045,17,0.9,24,0.3,24,2016,6,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
Good,42,27,17,42,0,3,29,1,18.4,22,0.045,17,0.9,24,0.3,24,2016,6,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
Moderate Pollution,54,28,34,54,0,6,30,1,36.2,21,0.056,14,0.9,24,0.5,24,2016,6,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
Moderate Pollution,54,28,34,54,0,6,30,1,36.2,21,0.056,14,0.9,24,0.5,24,2016,6,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
Good,44,18,19,44,0,3,19,1,20.9,19,0.047,14,0.6,24,0.3,21,2016,7,5,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
Good,44,18,19,44,0,3,19,1,20.9,19,0.047,14,0.6,24,0.3,24,2016,7,5,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
Good,46,27,18,46,0,3,29,1,19.4,21,0.05,14,0.7,23,0.3,21,2016,7,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
Good,46,27,18,46,0,3,29,1,19.4,21,0.05,14,0.7,23,0.3,24,2016,7,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
Good,48,18,9,48,0,3,19,1,10.8,23,0.052,17,0.8,23,0.3,24,2016,7,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
Good,48,18,9,48,0,2,19,1,10.8,23,0.052,17,0.8,23,0.2,24,2016,7,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
Moderate Pollution,71,44,42,71,3,7,48,1,44.4,22,0.061,17,2.3,24,0.6,24,2016,7,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
Moderate Pollution,71,44,42,71,3,7,48,1,44.4,22,0.061,17,2.3,24,0.6,24,2016,7,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
Good,44,21,21,44,0,3,23,1,22.4,24,0.048,17,0.6,24,0.3,24,2016,8,4,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
Good,44,21,21,44,0,3,23,1,22.4,24,0.048,17,0.6,24,0.3,24,2016,8,4,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
Good,50,22,24,50,1,5,24,1,25,24,0.054,17,1.1,24,0.4,24,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
Good,50,22,24,50,1,5,24,1,25,24,0.054,17,1.1,24,0.4,24,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
Good,43,27,31,43,1,7,29,1,33.5,24,0.046,17,1.5,24,0.6,24,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
Good,43,27,31,43,1,7,29,1,33.5,24,0.046,17,1.5,24,0.6,24,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
Good,47,22,21,47,0,5,24,1,22.4,24,0.051,17,0.6,24,0.4,24,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
Good,47,22,21,47,0,5,24,1,22.4,24,0.051,17,0.6,24,0.4,24,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
Good,41,22,11,41,0,2,24,1,12.2,24,0.044,17,0.4,24,0.2,24,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
Good,41,22,11,41,0,2,24,1,12.2,24,0.044,17,0.4,24,0.2,24,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
Good,44,26,17,44,0,3,28,1,18.3,24,0.048,17,0.4,24,0.3,24,2016,9,9,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
Good,44,26,17,44,0,3,28,1,18.3,24,0.048,17,0.4,24,0.3,24,2016,9,9,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
Good,40,26,26,40,1,7,28,1,28.3,24,0.043,17,1.2,24,0.6,24,2016,9,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
Good,40,26,26,40,1,7,28,1,28.3,24,0.043,17,1.2,24,0.6,24,2016,9,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
Moderate Pollution,51,38,42,51,1,7,41,1,45.8,24,0.055,17,1.1,24,0.6,24,2016,9,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
Moderate Pollution,51,38,42,51,1,6,41,1,45.8,24,0.055,17,1.1,24,0.5,24,2016,9,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
Good,39,30,33,39,0,6,32,1,35.5,24,0.042,17,0.6,24,0.5,24,2016,10,3,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
Good,39,30,33,39,0,6,32,1,35.5,24,0.042,17,0.6,24,0.5,24,2016,10,3,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
Moderate Pollution,97,24,37,97,0,10,26,1,39.6,24,0.069,17,0.7,24,0.9,24,2016,10,9,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
Moderate Pollution,97,24,37,97,0,10,26,1,39.6,24,0.069,17,0.7,24,0.9,24,2016,10,9,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
Good,28,16,14,28,0,3,17,1,15.8,24,0.03,17,0.8,24,0.3,24,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
Good,28,16,14,28,0,3,17,1,15.8,24,0.03,17,0.8,24,0.3,24,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
Good,45,32,45,39,1,10,35,1,48.8,24,0.042,17,1.2,24,0.9,24,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
Good,45,32,45,39,1,9,35,1,48.8,24,0.042,17,1.2,24,0.8,24,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
Moderate Pollution,51,30,51,23,0,10,32,1,54.9,24,0.025,17,0.9,24,0.9,24,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
Moderate Pollution,51,30,51,23,0,10,32,1,54.9,24,0.025,17,0.9,24,0.9,24,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
Good,49,25,49,26,1,11,27,1,52.2,24,0.028,17,1.2,24,1,24,2016,11,2,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
Good,49,25,49,26,1,11,27,1,52.2,24,0.028,17,1.2,24,1,24,2016,11,2,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
Moderate Pollution,56,30,56,38,0,13,32,1,59.5,24,0.041,17,0.9,24,1.1,24,2016,11,8,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
Moderate Pollution,56,30,56,38,0,13,32,1,59.5,24,0.041,17,0.9,24,1.1,24,2016,11,8,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
Good,45,27,45,41,0,10,29,1,48.4,24,0.044,17,0.9,24,0.9,24,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
Good,45,27,45,41,0,10,29,1,48.4,24,0.044,17,0.9,24,0.9,24,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
Good,32,22,32,26,1,14,24,1,34.9,24,0.028,17,1.1,24,1.2,24,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
Good,32,22,32,26,1,14,24,1,34.9,24,0.028,17,1.1,24,1.2,24,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
Good,34,21,34,33,0,15,23,1,36.8,24,0.036,17,0.9,24,1.3,24,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
Good,34,21,34,33,0,15,23,1,36.8,24,0.036,17,0.9,24,1.3,24,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
Good,35,33,35,29,0,13,36,1,37.7,24,0.031,17,0.7,24,1.1,24,2016,12,8,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
Good,35,33,35,29,0,9,36,1,37.7,24,0.031,17,0.7,24,0.8,24,2016,12,8,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
Moderate Pollution,55,55,42,14,0,14,64,1,45.2,24,0.015,17,0.9,18,1.2,24,2016,12,14,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
Good,47,26,47,19,0,9,28,1,50.1,22,0.021,17,0.6,24,0.8,24,2016,12,20,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
Good,31,18,31,29,0,10,19,1,33.2,24,0.031,17,0.6,24,0.9,24,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
Good,31,18,31,29,0,9,19,1,33.2,24,0.031,17,0.6,24,0.8,24,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
Good,37,14,37,29,3,7,15,1,39.2,22,0.031,17,2.5,21,0.6,24,2016,1,7,Long Beach (Hudson),33.8025,-118.22,1/7/2016
Good,48,41,48,16,4,20,44,1,51.3,23,0.017,17,3.3,22,1.8,24,2016,1,13,Long Beach (Hudson),33.8025,-118.22,1/13/2016
Good,26,24,26,18,0,7,26,1,28.9,22,0.019,17,0.9,22,0.6,24,2016,1,19,Long Beach (Hudson),33.8025,-118.22,1/19/2016
Good,40,40,40,20,1,14,43,1,42,23,0.022,17,1.6,22,1.2,24,2016,1,25,Long Beach (Hudson),33.8025,-118.22,1/25/2016
Good,31,22,12,31,1,2,24,1,13.9,23,0.034,17,1.1,22,0.2,24,2016,1,31,Long Beach (Hudson),33.8025,-118.22,1/31/2016
Moderate Pollution,73,50,73,27,14,25,54,1,75.6,23,0.029,17,10.2,22,2.2,24,2016,2,12,Long Beach (Hudson),33.8025,-118.22,2/12/2016
Good,34,24,34,31,1,3,26,1,36.1,23,0.033,17,1.5,22,0.3,24,2016,2,18,Long Beach (Hudson),33.8025,-118.22,2/18/2016
Good,48,41,48,33,4,8,44,1,51.8,21,0.036,17,3.5,22,0.7,24,2016,2,24,Long Beach (Hudson),33.8025,-118.22,2/24/2016
Good,43,37,43,36,3,6,40,1,46.1,21,0.039,17,2.8,21,0.5,23,2016,3,1,Long Beach (Hudson),33.8025,-118.22,3/1/2016
Good,33,25,29,33,1,2,27,1,31.8,23,0.036,17,1,22,0.2,24,2016,3,7,Long Beach (Hudson),33.8025,-118.22,3/7/2016
Good,34,16,23,34,1,6,17,1,24.2,23,0.037,17,1.3,22,0.5,24,2016,3,13,Long Beach (Hudson),33.8025,-118.22,3/13/2016
Good,46,22,18,46,1,3,24,1,19,23,0.05,17,1.5,22,0.3,24,2016,3,19,Long Beach (Hudson),33.8025,-118.22,3/19/2016
Good,39,25,32,39,1,9,27,1,34.3,23,0.042,17,1.6,22,0.8,24,2016,3,25,Long Beach (Hudson),33.8025,-118.22,3/25/2016
Good,35,35,33,34,6,7,38,1,35.1,23,0.037,17,4.4,21,0.6,24,2016,3,31,Long Beach (Hudson),33.8025,-118.22,3/31/2016
Good,36,30,36,28,7,7,32,1,38.1,22,0.03,17,5.2,22,0.6,24,2016,4,6,Long Beach (Hudson),33.8025,-118.22,4/6/2016
Good,27,23,25,27,4,6,25,1,26.6,22,0.029,17,3.3,22,0.5,24,2016,4,12,Long Beach (Hudson),33.8025,-118.22,4/12/2016
Good,47,29,47,45,3,10,31,1,50,23,0.049,17,2.9,23,0.9,24,2016,4,18,Long Beach (Hudson),33.8025,-118.22,4/18/2016
Good,43,27,15,43,1,5,29,1,16.7,23,0.046,17,1.2,23,0.4,24,2016,4,24,Long Beach (Hudson),33.8025,-118.22,4/24/2016
Good,42,21,10,42,1,2,23,1,11.9,23,0.045,17,1.5,23,0.2,24,2016,4,30,Long Beach (Hudson),33.8025,-118.22,4/30/2016
Good,32,11,22,32,0,3,12,1,23.8,23,0.035,17,0.8,22,0.3,24,2016,5,6,Long Beach (Hudson),33.8025,-118.22,5/6/2016
Good,36,20,23,36,4,3,22,1,24.1,23,0.039,17,3.4,22,0.3,24,2016,5,12,Long Beach (Hudson),33.8025,-118.22,5/12/2016
Good,34,23,20,34,1,3,25,1,21.2,23,0.037,17,1.5,22,0.3,24,2016,5,18,Long Beach (Hudson),33.8025,-118.22,5/18/2016
Good,26,18,17,26,3,2,19,1,18.1,22,0.028,17,2,22,0.2,24,2016,5,24,Long Beach (Hudson),33.8025,-118.22,5/24/2016
Good,40,15,9,40,1,2,16,1,10.4,23,0.043,17,1.5,22,0.2,24,2016,5,30,Long Beach (Hudson),33.8025,-118.22,5/30/2016
Good,31,10,10,31,3,1,11,1,11.3,22,0.034,17,2,22,0.1,24,2016,6,5,Long Beach (Hudson),33.8025,-118.22,6/5/2016
Good,28,7,7,28,0,1,8,1,7.6,22,0.03,17,0.2,22,0.1,24,2016,6,11,Long Beach (Hudson),33.8025,-118.22,6/11/2016
Moderate Pollution,51,45,38,51,10,7,49,1,40.2,22,0.055,17,7.1,22,0.6,24,2016,6,17,Long Beach (Hudson),33.8025,-118.22,6/17/2016
Good,27,23,17,27,7,2,25,1,18,22,0.029,17,5.1,22,0.2,24,2016,6,23,Long Beach (Hudson),33.8025,-118.22,6/23/2016
Good,32,29,22,32,6,2,31,1,23.1,22,0.035,17,4.9,22,0.2,24,2016,6,29,Long Beach (Hudson),33.8025,-118.22,6/29/2016
Good,37,18,11,37,1,2,19,1,12.8,22,0.04,17,1.6,21,0.2,24,2016,7,5,Long Beach (Hudson),33.8025,-118.22,7/5/2016
Good,32,29,17,32,1,1,31,1,18.9,22,0.035,17,1.9,21,0.1,24,2016,7,11,Long Beach (Hudson),33.8025,-118.22,7/11/2016
Good,38,17,11,38,4,1,18,1,12,21,0.041,14,3.1,21,0.1,24,2016,7,17,Long Beach (Hudson),33.8025,-118.22,7/17/2016
Good,34,33,24,34,1,2,36,1,25.3,21,0.037,14,1.8,21,0.2,24,2016,7,23,Long Beach (Hudson),33.8025,-118.22,7/23/2016
Good,31,27,25,31,7,3,29,1,27.6,22,0.034,17,5.6,21,0.3,21,2016,7,29,Long Beach (Hudson),33.8025,-118.22,7/29/2016
Good,29,24,20,29,3,1,26,1,21.5,21,0.031,14,2.4,21,0.1,21,2016,8,4,Long Beach (Hudson),33.8025,-118.22,8/4/2016
Good,39,24,19,39,4,2,26,1,20.4,21,0.042,14,3.7,21,0.2,21,2016,8,10,Long Beach (Hudson),33.8025,-118.22,8/10/2016
Good,32,28,18,32,7,2,30,1,19.3,21,0.035,14,5.4,21,0.2,21,2016,8,16,Long Beach (Hudson),33.8025,-118.22,8/16/2016
Good,29,25,25,29,4,3,27,1,26.7,21,0.031,14,3.8,21,0.3,21,2016,8,22,Long Beach (Hudson),33.8025,-118.22,8/22/2016
Good,38,25,18,38,4,2,27,1,19.7,21,0.041,14,3.3,21,0.2,21,2016,8,28,Long Beach (Hudson),33.8025,-118.22,8/28/2016
Good,31,18,9,31,3,1,19,1,10.2,24,0.034,17,2,24,0.1,24,2016,9,3,Long Beach (Hudson),33.8025,-118.22,9/3/2016
Good,34,31,13,34,1,2,33,1,14.6,24,0.037,17,1.1,24,0.2,24,2016,9,9,Long Beach (Hudson),33.8025,-118.22,9/9/2016
Good,31,31,25,26,7,7,33,1,27.5,24,0.028,17,5.9,24,0.6,24,2016,9,15,Long Beach (Hudson),33.8025,-118.22,9/15/2016
Good,35,29,35,30,3,7,31,1,37.1,24,0.032,17,2.4,24,0.6,24,2016,9,21,Long Beach (Hudson),33.8025,-118.22,9/21/2016
Moderate Pollution,56,51,56,41,6,10,55,1,59.2,24,0.044,17,4.6,24,0.9,24,2016,9,27,Long Beach (Hudson),33.8025,-118.22,9/27/2016
Good,48,48,31,32,1,7,52,1,33.5,24,0.035,17,1.5,24,0.6,24,2016,10,3,Long Beach (Hudson),33.8025,-118.22,10/3/2016
Moderate Pollution,64,27,40,64,10,11,29,1,42.4,24,0.059,17,7.9,24,1,24,2016,10,9,Long Beach (Hudson),33.8025,-118.22,10/9/2016
Good,19,16,12,19,3,1,17,1,13.6,24,0.021,17,2.5,24,0.1,24,2016,10,15,Long Beach (Hudson),33.8025,-118.22,10/15/2016
