Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
Good,39,2,1,39,0,1,1,1.1,23,0.042,17,0,22,0.1,19,2016,4,30,Cheyenne NCore,41.18222711,-104.7783342,4/30/2016
Good,44,7,3,44,0,1,1,3.5,23,0.047,17,0,23,0.1,24,2016,5,1,Cheyenne NCore,41.18222711,-104.7783342,5/1/2016
Good,48,10,3,48,0,0,1,3.7,24,0.052,17,0,23,0,24,2016,5,3,Cheyenne NCore,41.18222711,-104.7783342,5/3/2016
Good,48,8,12,48,0,1,1,13.1,23,0.052,17,0.2,22,0.1,19,2016,5,4,Cheyenne NCore,41.18222711,-104.7783342,5/4/2016
Moderate Pollution,74,15,11,74,0,1,1,12.7,24,0.062,17,0.4,24,0.1,24,2016,5,5,Cheyenne NCore,41.18222711,-104.7783342,5/5/2016
Moderate Pollution,67,19,14,67,1,1,1,15.2,23,0.06,17,1.3,22,0.1,19,2016,5,6,Cheyenne NCore,41.18222711,-104.7783342,5/6/2016
Good,50,22,3,50,0,2,1,3.6,24,0.054,17,0.1,24,0.2,24,2016,5,7,Cheyenne NCore,41.18222711,-104.7783342,5/7/2016
Moderate Pollution,51,6,6,51,0,1,1,6.2,22,0.055,17,0.1,21,0.1,19,2016,5,8,Cheyenne NCore,41.18222711,-104.7783342,5/8/2016
Good,48,4,8,48,3,1,1,9.1,24,0.052,17,2.1,24,0.1,23,2016,5,9,Cheyenne NCore,41.18222711,-104.7783342,5/9/2016
Moderate Pollution,67,5,2,67,0,1,1,2.9,23,0.06,17,0.1,22,0.1,19,2016,5,10,Cheyenne NCore,41.18222711,-104.7783342,5/10/2016
Moderate Pollution,51,9,17,51,0,1,1,18.8,23,0.055,17,0.2,22,0.1,19,2016,5,12,Cheyenne NCore,41.18222711,-104.7783342,5/12/2016
Good,33,7,4,33,0,1,1,4.3,24,0.036,17,0.2,24,0.1,24,2016,5,13,Cheyenne NCore,41.18222711,-104.7783342,5/13/2016
Good,29,8,2,29,0,1,1,2.8,23,0.031,17,0,22,0.1,19,2016,5,14,Cheyenne NCore,41.18222711,-104.7783342,5/14/2016
Good,30,15,3,30,0,1,1,3.2,23,0.032,17,0.1,23,0.1,24,2016,5,15,Cheyenne NCore,41.18222711,-104.7783342,5/15/2016
Good,40,4,4,40,0,1,1,4.4,24,0.043,17,0.1,23,0.1,24,2016,5,17,Cheyenne NCore,41.18222711,-104.7783342,5/17/2016
Good,41,6,6,41,0,1,1,6.5,23,0.044,17,0.2,22,0.1,19,2016,5,18,Cheyenne NCore,41.18222711,-104.7783342,5/18/2016
Good,46,7,13,46,0,1,1,14.6,24,0.05,17,0.4,24,0.1,24,2016,5,19,Cheyenne NCore,41.18222711,-104.7783342,5/19/2016
Good,48,9,21,48,0,1,1,22.8,23,0.052,17,0.4,22,0.1,19,2016,5,20,Cheyenne NCore,41.18222711,-104.7783342,5/20/2016
Good,42,15,3,42,0,0,1,3.5,24,0.045,17,0.4,24,0,24,2016,5,21,Cheyenne NCore,41.18222711,-104.7783342,5/21/2016
Good,49,9,2,49,0,0,1,2.6,22,0.053,17,0.3,21,0,19,2016,5,22,Cheyenne NCore,41.18222711,-104.7783342,5/22/2016
Moderate Pollution,54,13,9,54,0,0,1,10.9,24,0.056,17,0.5,24,0,23,2016,5,23,Cheyenne NCore,41.18222711,-104.7783342,5/23/2016
Moderate Pollution,54,14,14,54,0,0,1,15.8,23,0.056,17,0.5,22,0,19,2016,5,24,Cheyenne NCore,41.18222711,-104.7783342,5/24/2016
Moderate Pollution,61,10,7,61,0,1,1,7.2,24,0.058,17,0.3,24,0.1,24,2016,5,25,Cheyenne NCore,41.18222711,-104.7783342,5/25/2016
Good,50,7,9,50,0,0,1,10.3,23,0.054,17,0.5,22,0,19,2016,5,26,Cheyenne NCore,41.18222711,-104.7783342,5/26/2016
Good,42,5,9,42,0,0,1,10.1,24,0.045,17,0.4,24,0,24,2016,5,27,Cheyenne NCore,41.18222711,-104.7783342,5/27/2016
Good,45,4,7,45,0,0,1,7.8,23,0.049,17,0.3,22,0,19,2016,5,28,Cheyenne NCore,41.18222711,-104.7783342,5/28/2016
Good,49,5,26,49,0,0,1,28.8,23,0.053,17,0.3,23,0,24,2016,5,29,Cheyenne NCore,41.18222711,-104.7783342,5/29/2016
Good,50,12,10,50,1,2,1,11.7,24,0.054,17,1.3,23,0.2,24,2016,8,13,Cheyenne NCore,41.18222711,-104.7783342,8/13/2016
Moderate Pollution,61,13,8,61,1,2,1,9,21,0.058,17,1.3,20,0.2,18,2016,8,14,Cheyenne NCore,41.18222711,-104.7783342,8/14/2016
Good,47,14,5,47,0,2,1,5.4,24,0.051,17,0.3,23,0.2,24,2016,8,15,Cheyenne NCore,41.18222711,-104.7783342,8/15/2016
Moderate Pollution,71,17,17,71,1,2,1,18,24,0.061,17,1,23,0.2,24,2016,8,17,Cheyenne NCore,41.18222711,-104.7783342,8/17/2016
Moderate Pollution,54,13,4,54,0,2,1,4.1,22,0.056,17,0.4,21,0.2,18,2016,8,18,Cheyenne NCore,41.18222711,-104.7783342,8/18/2016
Good,33,8,5,33,0,1,1,5.7,24,0.036,17,0.4,23,0.1,24,2016,8,19,Cheyenne NCore,41.18222711,-104.7783342,8/19/2016
Good,39,6,8,39,0,1,1,9.9,22,0.042,17,0.5,21,0.1,18,2016,8,20,Cheyenne NCore,41.18222711,-104.7783342,8/20/2016
Moderate Pollution,54,9,12,54,1,2,1,13,23,0.056,13,1.1,22,0.2,24,2016,8,21,Cheyenne NCore,41.18222711,-104.7783342,8/21/2016
Good,50,11,24,50,0,2,1,25.2,24,0.054,17,0.2,18,0.2,24,2016,8,27,Cheyenne NCore,41.18222711,-104.7783342,8/27/2016
Good,50,10,13,50,0,2,1,14.5,24,0.054,17,0,18,0.2,24,2016,8,29,Cheyenne NCore,41.18222711,-104.7783342,8/29/2016
Good,41,10,8,41,0,2,1,9.3,24,0.044,17,0.5,20,0.2,24,2016,9,2,Cheyenne NCore,41.18222711,-104.7783342,9/2/2016
Good,44,10,15,44,0,2,1,16.3,23,0.048,17,0.1,23,0.2,24,2016,9,3,Cheyenne NCore,41.18222711,-104.7783342,9/3/2016
Good,39,9,13,39,0,2,1,14.8,23,0.042,17,0.4,23,0.2,24,2016,9,4,Cheyenne NCore,41.18222711,-104.7783342,9/4/2016
Good,42,9,21,42,0,2,1,22.6,23,0.045,17,0.3,23,0.2,24,2016,9,5,Cheyenne NCore,41.18222711,-104.7783342,9/5/2016
Good,39,14,4,39,0,2,1,4.5,24,0.042,17,0.1,24,0.2,24,2016,9,6,Cheyenne NCore,41.18222711,-104.7783342,9/6/2016
Good,44,18,10,44,0,2,1,11.4,24,0.047,17,0.6,24,0.2,24,2016,9,8,Cheyenne NCore,41.18222711,-104.7783342,9/8/2016
Good,35,10,4,35,0,1,1,4.9,23,0.038,17,0.7,23,0.1,24,2016,9,9,Cheyenne NCore,41.18222711,-104.7783342,9/9/2016
Good,49,21,15,49,0,1,1,16.1,24,0.053,17,0.3,24,0.1,24,2016,9,10,Cheyenne NCore,41.18222711,-104.7783342,9/10/2016
Good,45,24,4,45,0,2,1,4.5,22,0.049,17,0.1,22,0.2,24,2016,9,11,Cheyenne NCore,41.18222711,-104.7783342,9/11/2016
Good,37,14,2,37,0,2,1,2.2,24,0.04,17,0.4,24,0.2,24,2016,9,12,Cheyenne NCore,41.18222711,-104.7783342,9/12/2016
Good,21,9,4,21,0,1,1,4.8,23,0.023,17,0,23,0.1,24,2016,9,13,Cheyenne NCore,41.18222711,-104.7783342,9/13/2016
Good,33,11,7,33,0,1,1,7.2,24,0.036,17,0.1,24,0.1,24,2016,9,14,Cheyenne NCore,41.18222711,-104.7783342,9/14/2016
Good,44,7,16,44,0,1,1,17.5,23,0.047,17,0.2,23,0.1,24,2016,9,17,Cheyenne NCore,41.18222711,-104.7783342,9/17/2016
Good,38,19,3,38,0,2,1,3.9,23,0.041,17,0.1,23,0.2,24,2016,9,21,Cheyenne NCore,41.18222711,-104.7783342,9/21/2016
Good,30,15,8,30,0,2,1,9.2,24,0.032,17,0,24,0.2,24,2016,9,22,Cheyenne NCore,41.18222711,-104.7783342,9/22/2016
Good,46,18,8,46,0,2,1,8.9,23,0.05,17,0.4,23,0.2,24,2016,9,23,Cheyenne NCore,41.18222711,-104.7783342,9/23/2016
Good,37,6,7,37,0,1,1,7.1,24,0.04,17,0.2,24,0.1,24,2016,9,24,Cheyenne NCore,41.18222711,-104.7783342,9/24/2016
Good,41,6,14,41,0,1,1,15.7,22,0.044,17,-0.2,22,0.1,24,2016,9,25,Cheyenne NCore,41.18222711,-104.7783342,9/25/2016
Good,37,8,9,37,0,1,1,10.1,24,0.04,17,0.1,24,0.1,24,2016,9,26,Cheyenne NCore,41.18222711,-104.7783342,9/26/2016
Good,37,6,5,37,0,1,1,5.9,23,0.04,17,0,23,0.1,24,2016,9,27,Cheyenne NCore,41.18222711,-104.7783342,9/27/2016
Good,34,12,6,34,0,1,1,6.9,24,0.037,17,0.6,24,0.1,24,2016,9,28,Cheyenne NCore,41.18222711,-104.7783342,9/28/2016
Good,44,31,14,44,1,2,1,15.4,23,0.047,17,1.1,23,0.2,24,2016,9,29,Cheyenne NCore,41.18222711,-104.7783342,9/29/2016
Good,34,10,13,34,0,2,1,14.1,24,0.037,17,0.1,24,0.2,24,2016,9,30,Cheyenne NCore,41.18222711,-104.7783342,9/30/2016
Good,46,9,13,46,0,2,1,14.1,23,0.05,17,0.4,23,0.2,24,2016,10,1,Cheyenne NCore,41.18222711,-104.7783342,10/1/2016
Good,44,8,9,44,0,2,1,10.3,23,0.047,17,0.5,23,0.2,24,2016,10,2,Cheyenne NCore,41.18222711,-104.7783342,10/2/2016
Good,49,21,17,49,1,2,1,18.6,23,0.053,17,1.5,20,0.2,24,2016,10,3,Cheyenne NCore,41.18222711,-104.7783342,10/3/2016
Good,40,8,34,40,0,2,1,36.5,23,0.043,17,0.1,23,0.2,24,2016,10,7,Cheyenne NCore,41.18222711,-104.7783342,10/7/2016
Good,44,7,19,44,0,2,1,20.9,24,0.047,17,0.9,24,0.2,24,2016,10,8,Cheyenne NCore,41.18222711,-104.7783342,10/8/2016
Good,44,11,18,44,0,2,1,19.5,22,0.048,17,0.9,22,0.2,24,2016,10,9,Cheyenne NCore,41.18222711,-104.7783342,10/9/2016
Good,36,9,5,36,0,2,1,5,24,0.039,17,0.1,24,0.2,24,2016,10,10,Cheyenne NCore,41.18222711,-104.7783342,10/10/2016
